candidate_rank,id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,candidate_group,candidate_group_cn,expected_best_image_route,symbolic_hu_overlap,selection_tag,selection_reason
130,65633,null,Asus/华硕24.5英寸XG259CMS电脑ROG显示屏游戏IPS屏幕显示器310HZ,https://img.alicdn.com/bao/uploaded/O1CN01ekyxNt25hcTD5dmPQ_!!6000000007558-2-yinhe.png,Asus/华硕,1699,,电脑硬件/显示器/电脑周边,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。,gaming_anime_fandom_identity,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。
131,13680,110046,【政府补贴至高15%】ROG棱镜2白色三模无线头戴式游戏耳机7.1华硕,https://img.alicdn.com/bao/uploaded/O1CN01VBIb9r1yzksvelnwG_!!6000000006650-0-yinhe.jpg,Asus/华硕,1279,满200减20,影音电器,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。,gaming_anime_fandom_identity,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。
132,1243791,89512,【APEX/碧蓝航线】定安 红红火火度勤春Ver.1/7手办周边 官方现货,https://img.alicdn.com/bao/uploaded/O1CN01GGVoyb1oKrGUOoOeM_!!6000000005207-2-yinhe.png,APEX INNOVATION,799,,模玩/动漫/周边/娃圈三坑/桌游,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。,gaming_anime_fandom_identity,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。
133,1235063,104460,Razer雷蛇北海巨妖萌猫版V2粉晶头戴式有线耳机女生礼物,https://img.alicdn.com/bao/uploaded/O1CN01rRSwHg1voLtIH1Kpd_!!6000000006219-0-yinhe.jpg,Razer/雷蛇,631,,影音电器,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。,gaming_anime_fandom_identity,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。
134,65371,null,【王一博同款】漫步者LolliClip限定色薄荷绿蓝牙耳机耳夹式运动,https://img.alicdn.com/bao/uploaded/O1CN013J19Nn1oEuA9JX1oi_!!6000000005194-0-yinhe.jpg,Edifier/漫步者,559,1件减140元,影音电器,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。,gaming_anime_fandom_identity,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。
135,28300,"6,110,046",【抢先购】北通鲲鹏40极光蓝星闪手柄智能游戏手柄pc电脑版switch无线怪物猎人蓝牙ns平板手机steam双影奇境,https://img.alicdn.com/bao/uploaded/O1CN01wQMDMa1aRMMOz3TRw_!!6000000003326-0-yinhe.jpg,BETOP/北通,279,满409减30,电玩/配件/游戏/攻略,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。,gaming_anime_fandom_identity,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。
136,1558437,102386,Chopard萧邦运动日历显示黑色表带机械腕表运动男表礼物,https://img.alicdn.com/bao/uploaded/O1CN01N0oKn21MnQUcblN9l_!!6000000001479-0-yinhe.jpg,Chopard/萧邦,58000,,手表,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：审美和拥有体验强，但更突出身份、品位、阶层或风格信号。,fashion_luxury_status_identity,时尚/奢侈/珠宝腕表类商品，适合表达身份、品位、角色或生活方式。
137,1563056,102386,张凌赫同款天猫限定限量Chopard萧邦快乐钻石绿进斗金机械手表女,https://img.alicdn.com/bao/uploaded/O1CN01M6xNq622hDLEUniQi_!!6000000007151-0-yinhe.jpg,Chopard/萧邦,58000,,手表,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：审美和拥有体验强，但更突出身份、品位、阶层或风格信号。,fashion_luxury_status_identity,时尚/奢侈/珠宝腕表类商品，适合表达身份、品位、角色或生活方式。
138,27101,110046,【新品上市】百年灵航空计时双时区自动机械男女款41冰蓝瑞士手表,https://img.alicdn.com/bao/uploaded/O1CN01nrt6nI1a1i4ygscq6_!!6000000003270-0-yinhe.jpg,Breitling/百年灵,43550,满20000减50,手表,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：审美和拥有体验强，但更突出身份、品位、阶层或风格信号。,fashion_luxury_status_identity,时尚/奢侈/珠宝腕表类商品，适合表达身份、品位、角色或生活方式。
139,1562034,102386,JIL SANDER 秋冬女士 山羊绒衬衫夹克外套,https://img.alicdn.com/bao/uploaded/O1CN01NqTpTo1K4t3TMaMTq_!!6000000001111-0-yinhe.jpg,Jil Sander,36100,,女装/女士精品,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：审美和拥有体验强，但更突出身份、品位、阶层或风格信号。,fashion_luxury_status_identity,时尚/奢侈/珠宝腕表类商品，适合表达身份、品位、角色或生活方式。
140,1557450,102386,【12期免息】FERRAGAMO菲拉格慕女Hug Soft羽毛斜挎包抱抱包小号,https://img.alicdn.com/bao/uploaded/O1CN015vzi6O1rgn9llczsJ_!!6000000005661-0-yinhe.jpg,FERRAGAMO/菲拉格慕,28500,,箱包皮具/热销女包/男包,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：审美和拥有体验强，但更突出身份、品位、阶层或风格信号。,fashion_luxury_status_identity,时尚/奢侈/珠宝腕表类商品，适合表达身份、品位、角色或生活方式。
141,1560578,102386,【早秋新品】JIL SANDER 2025新品 女士 绵羊毛大衣外套,https://img.alicdn.com/bao/uploaded/O1CN01gXdwx71eLduHYFv1C_!!6000000003855-0-yinhe.jpg,Jil Sander,28100,,女装/女士精品,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：审美和拥有体验强，但更突出身份、品位、阶层或风格信号。,fashion_luxury_status_identity,时尚/奢侈/珠宝腕表类商品，适合表达身份、品位、角色或生活方式。
142,1557657,102386,【高圆圆同款】FERRAGAMO菲拉格慕女Hug Soft单肩包抱抱包(大号),https://img.alicdn.com/bao/uploaded/O1CN01P82gP329lykqcGA05_!!6000000008109-0-yinhe.jpg,FERRAGAMO/菲拉格慕,26500,,箱包皮具/热销女包/男包,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：审美和拥有体验强，但更突出身份、品位、阶层或风格信号。,fashion_luxury_status_identity,时尚/奢侈/珠宝腕表类商品，适合表达身份、品位、角色或生活方式。
143,1557440,102386,【肖战同款】TOD'S官方正品2025秋冬新品男女士DI BAG FOLIO手袋,https://img.alicdn.com/bao/uploaded/O1CN01cXu0b21zY6bXTExYw_!!6000000006725-0-yinhe.jpg,Tod’s,16600,,箱包皮具/热销女包/男包,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：审美和拥有体验强，但更突出身份、品位、阶层或风格信号。,fashion_luxury_status_identity,时尚/奢侈/珠宝腕表类商品，适合表达身份、品位、角色或生活方式。
144,337311,"6,102,386",[经典款]JIMMY CHOO/SAEDA 100 女士水晶链饰露跟高跟鞋婚鞋JC,https://img.alicdn.com/bao/uploaded/O1CN01c3YmQA1cA4TRcArYW_!!6000000003559-2-yinhe.png,Jimmy Choo,16400,,女鞋,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：审美和拥有体验强，但更突出身份、品位、阶层或风格信号。,fashion_luxury_status_identity,时尚/奢侈/珠宝腕表类商品，适合表达身份、品位、角色或生活方式。
145,1550291,102386,[礼物]JIMMY CHOO/TABATHA 95 女士银色金属感皮革滴跟凉鞋JC,https://img.alicdn.com/bao/uploaded/i4/2208772192567/O1CN01ZrIZpr1UpjfcxZHAJ_!!2-item_pic.png,Jimmy Choo,13600,,女鞋,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：审美和拥有体验强，但更突出身份、品位、阶层或风格信号。,fashion_luxury_status_identity,时尚/奢侈/珠宝腕表类商品，适合表达身份、品位、角色或生活方式。
146,13915,110046,【政府补贴15%】大疆 DJI Mavic 3 Pro 御3三摄旗舰航拍机  超稳图传高清专业大师版航拍器 大疆无人机,https://img.alicdn.com/bao/uploaded/O1CN01zhxyaX24mpOGm3qmS_!!6000000007434-0-yinhe.jpg,DJI/大疆,15919,,智能设备,1,symbolic_group_identity,群体符号型,symbolic,混合：有创作/演奏/拍摄功能，也能标记创作者、摄影爱好者或音乐人身份。,creator_musician_identity,创作/音乐/摄影相关商品，既有实用功能，也能清晰标记创作者或音乐人身份。
147,26328,110046,大疆 DJI Mavic 3 Pro 御3三摄旗舰航拍机 DJI Mavic 3 Pro Cine 高清专业大师版航拍器 大疆无人机,https://img.alicdn.com/bao/uploaded/O1CN01sMwK441ZlDtTjUIwv_!!6000000003234-0-yinhe.jpg,DJI/大疆,15919,,智能设备,1,symbolic_group_identity,群体符号型,symbolic,混合：有创作/演奏/拍摄功能，也能标记创作者、摄影爱好者或音乐人身份。,creator_musician_identity,创作/音乐/摄影相关商品，既有实用功能，也能清晰标记创作者或音乐人身份。
148,65255,null,【国补专享多地可用】Sony/索尼 Alpha7 IV A7M4全画幅微单相机,https://img.alicdn.com/bao/uploaded/O1CN01SknnvJ23wcF63I3QH_!!6000000007320-0-yinhe.jpg,Sony/索尼,15047,,数码相机/单反相机/摄像机,1,symbolic_group_identity,群体符号型,symbolic,混合：有创作/演奏/拍摄功能，也能标记创作者、摄影爱好者或音乐人身份。,creator_musician_identity,创作/音乐/摄影相关商品，既有实用功能，也能清晰标记创作者或音乐人身份。
149,1561983,102386,Sony/索尼 Alpha 7 IV A7M4全画幅微单相机 7M4 国行索尼相机,https://img.alicdn.com/bao/uploaded/O1CN01oZSZid23m4sYsWcbG_!!6000000007297-0-yinhe.jpg,Sony/索尼,14899,,数码相机/单反相机/摄像机,1,symbolic_group_identity,群体符号型,symbolic,混合：有创作/演奏/拍摄功能，也能标记创作者、摄影爱好者或音乐人身份。,creator_musician_identity,创作/音乐/摄影相关商品，既有实用功能，也能清晰标记创作者或音乐人身份。
150,57545,null,Fender 芬德  American Professional美专二代Strat电吉他芬达,https://img.alicdn.com/bao/uploaded/O1CN01T4jLhP1WYRwZqN1lM_!!6000000002800-0-yinhe.jpg,Fender/芬德,13855,官方8.5折,乐器/吉他/钢琴/配件,1,symbolic_group_identity,群体符号型,symbolic,混合：有创作/演奏/拍摄功能，也能标记创作者、摄影爱好者或音乐人身份。,creator_musician_identity,创作/音乐/摄影相关商品，既有实用功能，也能清晰标记创作者或音乐人身份。
